Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview2|homeless/marginally housed/temporarily housed/at risk of homelessness|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0
TrainCasesforReview2|lives at home/not homeless|17.0|2.0|2.0|9.0|0.6333333|0.65384614|0.5|0.7555555|17.0|1.0|3.0|9.0|0.6666667|0.65384614|0.75|0.77272725|17.0|2.0|2.0|9.0|0.6333333|0.65384614|0.5|0.7555555
TrainCasesforReview2|lives in a facility|1.0|1.0|27.0|1.0|0.93333334|0.5|0.96428573|0.5|2.0|0.0|28.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|28.0|1.0|0.96666664|0.5|1.0|0.6666667
TrainCasesforReview2|lives in a permanent single room occupancy|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview2|does not live alone|6.0|3.0|12.0|9.0|0.6|0.4|0.8|0.5|6.0|1.0|14.0|9.0|0.6666667|0.4|0.93333334|0.54545456|6.0|2.0|13.0|9.0|0.6333333|0.4|0.8666667|0.5217392
TrainCasesforReview2|living alone|10.0|2.0|16.0|2.0|0.8666667|0.8333333|0.8888889|0.8333333|10.0|1.0|17.0|2.0|0.9|0.8333333|0.9444444|0.8695652|9.0|1.0|17.0|3.0|0.8666667|0.75|0.9444444|0.81818175
TrainCasesforReview2|has access to community services|1.0|3.0|26.0|0.0|0.9|1.0|0.8965517|0.4|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0
TrainCasesforReview2|no social support|0.0|6.0|23.0|1.0|0.76666665|0.0|0.79310346|0.0|0.0|2.0|27.0|1.0|0.9|0.0|0.9310345|0.0|0.0|3.0|26.0|1.0|0.8666667|0.0|0.8965517|0.0
TrainCasesforReview2|has social support|19.0|2.0|5.0|4.0|0.8|0.82608694|0.71428573|0.86363643|21.0|2.0|5.0|2.0|0.8666667|0.9130435|0.71428573|0.9130435|20.0|2.0|5.0|3.0|0.8333333|0.8695652|0.71428573|0.8888889
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview3|homeless/marginally housed/temporarily housed/at risk of homelessness|0.0|3.0|28.0|0.0|0.9032258|0.0|0.9032258|0.0|0.0|1.0|30.0|0.0|0.9677419|0.0|0.9677419|0.0|0.0|1.0|30.0|0.0|0.9677419|0.0|0.9677419|0.0
TrainCasesforReview3|lives at home/not homeless|17.0|4.0|5.0|5.0|0.7096774|0.77272725|0.5555556|0.79069763|17.0|3.0|6.0|5.0|0.7419355|0.77272725|0.6666667|0.8095238|16.0|3.0|6.0|6.0|0.7096774|0.72727275|0.6666667|0.78048784
TrainCasesforReview3|lives in a facility|3.0|2.0|26.0|0.0|0.9354839|1.0|0.9285714|0.75|3.0|1.0|27.0|0.0|0.9677419|1.0|0.96428573|0.85714287|3.0|2.0|26.0|0.0|0.9354839|1.0|0.9285714|0.75
TrainCasesforReview3|lives in a permanent single room occupancy|0.0|2.0|29.0|0.0|0.9354839|0.0|0.9354839|0.0|0.0|0.0|31.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|31.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview3|does not live alone|7.0|0.0|14.0|10.0|0.67741936|0.4117647|1.0|0.5833333|7.0|0.0|14.0|10.0|0.67741936|0.4117647|1.0|0.5833333|6.0|0.0|14.0|11.0|0.6451613|0.3529412|1.0|0.5217391
TrainCasesforReview3|living alone|3.0|3.0|25.0|0.0|0.9032258|1.0|0.89285713|0.6666667|3.0|1.0|27.0|0.0|0.9677419|1.0|0.96428573|0.85714287|3.0|2.0|26.0|0.0|0.9354839|1.0|0.9285714|0.75
TrainCasesforReview3|has access to community services|0.0|1.0|29.0|1.0|0.9354839|0.0|0.96666664|0.0|0.0|0.0|30.0|1.0|0.9677419|0.0|1.0|0.0|0.0|0.0|30.0|1.0|0.9677419|0.0|1.0|0.0
TrainCasesforReview3|no social support|0.0|6.0|25.0|0.0|0.8064516|0.0|0.8064516|0.0|0.0|1.0|30.0|0.0|0.9677419|0.0|0.9677419|0.0|0.0|1.0|30.0|0.0|0.9677419|0.0|0.9677419|0.0
TrainCasesforReview3|has social support|18.0|3.0|6.0|4.0|0.7741935|0.8181818|0.6666667|0.83720934|17.0|3.0|6.0|5.0|0.7419355|0.77272725|0.6666667|0.8095238|17.0|3.0|6.0|5.0|0.7419355|0.77272725|0.6666667|0.8095238
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview4|homeless/marginally housed/temporarily housed/at risk of homelessness|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview4|lives at home/not homeless|21.0|2.0|4.0|3.0|0.8333333|0.875|0.6666667|0.89361703|19.0|3.0|3.0|5.0|0.73333335|0.7916667|0.5|0.826087|21.0|2.0|4.0|3.0|0.8333333|0.875|0.6666667|0.89361703
TrainCasesforReview4|lives in a facility|2.0|1.0|27.0|0.0|0.96666664|1.0|0.96428573|0.8|1.0|1.0|27.0|1.0|0.93333334|0.5|0.96428573|0.5|2.0|0.0|28.0|0.0|1.0|1.0|1.0|1.0
TrainCasesforReview4|lives in a permanent single room occupancy|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview4|does not live alone|6.0|0.0|13.0|11.0|0.6333333|0.3529412|1.0|0.5217391|6.0|0.0|13.0|11.0|0.6333333|0.3529412|1.0|0.5217391|6.0|0.0|13.0|11.0|0.6333333|0.3529412|1.0|0.5217391
TrainCasesforReview4|living alone|4.0|2.0|24.0|0.0|0.93333334|1.0|0.9230769|0.8|4.0|2.0|24.0|0.0|0.93333334|1.0|0.9230769|0.8|4.0|2.0|24.0|0.0|0.93333334|1.0|0.9230769|0.8
TrainCasesforReview4|has access to community services|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview4|no social support|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0
TrainCasesforReview4|has social support|18.0|4.0|3.0|5.0|0.7|0.7826087|0.42857143|0.8|17.0|4.0|3.0|6.0|0.6666667|0.73913044|0.42857143|0.7727272|17.0|4.0|3.0|6.0|0.6666667|0.73913044|0.42857143|0.7727272
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview5|homeless/marginally housed/temporarily housed/at risk of homelessness|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview5|lives at home/not homeless|21.0|1.0|3.0|5.0|0.8|0.8076923|0.75|0.87499994|21.0|1.0|3.0|5.0|0.8|0.8076923|0.75|0.87499994|20.0|1.0|3.0|6.0|0.76666665|0.7692308|0.75|0.85106385
TrainCasesforReview5|lives in a facility|1.0|2.0|26.0|1.0|0.9|0.5|0.9285714|0.4|1.0|0.0|28.0|1.0|0.96666664|0.5|1.0|0.6666667|1.0|1.0|27.0|1.0|0.93333334|0.5|0.96428573|0.5
TrainCasesforReview5|lives in a permanent single room occupancy|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview5|does not live alone|5.0|4.0|11.0|10.0|0.53333336|0.33333334|0.73333335|0.41666666|5.0|1.0|14.0|10.0|0.6333333|0.33333334|0.93333334|0.4761905|5.0|2.0|13.0|10.0|0.6|0.33333334|0.8666667|0.45454547
TrainCasesforReview5|living alone|5.0|2.0|20.0|3.0|0.8333333|0.625|0.90909094|0.6666667|6.0|1.0|21.0|2.0|0.9|0.75|0.95454544|0.79999995|5.0|1.0|21.0|3.0|0.8666667|0.625|0.95454544|0.71428573
TrainCasesforReview5|has access to community services|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview5|no social support|0.0|6.0|24.0|0.0|0.8|0.0|0.8|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0
TrainCasesforReview5|has social support|26.0|0.0|1.0|3.0|0.9|0.8965517|1.0|0.94545454|26.0|0.0|1.0|3.0|0.9|0.8965517|1.0|0.94545454|25.0|0.0|1.0|4.0|0.8666667|0.86206895|1.0|0.92592597
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview6|homeless/marginally housed/temporarily housed/at risk of homelessness|0.0|3.0|27.0|0.0|0.9|0.0|0.9|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview6|lives at home/not homeless|25.0|2.0|0.0|3.0|0.8333333|0.89285713|0.0|0.90909094|25.0|2.0|0.0|3.0|0.8333333|0.89285713|0.0|0.90909094|26.0|2.0|0.0|2.0|0.8666667|0.9285714|0.0|0.9285714
TrainCasesforReview6|lives in a facility|0.0|2.0|27.0|1.0|0.9|0.0|0.9310345|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0
TrainCasesforReview6|lives in a permanent single room occupancy|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview6|does not live alone|7.0|0.0|11.0|12.0|0.6|0.36842105|1.0|0.5384615|7.0|0.0|11.0|12.0|0.6|0.36842105|1.0|0.5384615|7.0|0.0|11.0|12.0|0.6|0.36842105|1.0|0.5384615
TrainCasesforReview6|living alone|5.0|2.0|23.0|0.0|0.93333334|1.0|0.92|0.8333334|5.0|1.0|24.0|0.0|0.96666664|1.0|0.96|0.90909094|5.0|1.0|24.0|0.0|0.96666664|1.0|0.96|0.90909094
TrainCasesforReview6|has access to community services|0.0|2.0|28.0|0.0|0.93333334|0.0|0.93333334|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview6|no social support|0.0|3.0|26.0|1.0|0.8666667|0.0|0.8965517|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|0.0|1.0|28.0|1.0|0.93333334|0.0|0.9655172|0.0
TrainCasesforReview6|has social support|24.0|2.0|2.0|2.0|0.8666667|0.9230769|0.5|0.9230769|24.0|2.0|2.0|2.0|0.8666667|0.9230769|0.5|0.9230769|24.0|1.0|3.0|2.0|0.9|0.9230769|0.75|0.9411765
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
TrainCasesforReview7|homeless/marginally housed/temporarily housed/at risk of homelessness|1.0|1.0|28.0|0.0|0.96666664|1.0|0.9655172|0.6666667|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|1.0|0.0|29.0|0.0|1.0|1.0|1.0|1.0
TrainCasesforReview7|lives at home/not homeless|18.0|0.0|6.0|6.0|0.8|0.75|1.0|0.85714287|18.0|1.0|5.0|6.0|0.76666665|0.75|0.8333333|0.83720934|17.0|0.0|6.0|7.0|0.76666665|0.7083333|1.0|0.82926834
TrainCasesforReview7|lives in a facility|2.0|1.0|27.0|0.0|0.96666664|1.0|0.96428573|0.8|2.0|0.0|28.0|0.0|1.0|1.0|1.0|1.0|2.0|1.0|27.0|0.0|0.96666664|1.0|0.96428573|0.8
TrainCasesforReview7|lives in a permanent single room occupancy|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|1.0|0.0|1.0|0.0
TrainCasesforReview7|does not live alone|8.0|1.0|8.0|13.0|0.53333336|0.3809524|0.8888889|0.53333336|7.0|1.0|8.0|14.0|0.5|0.33333334|0.8888889|0.48275864|8.0|1.0|8.0|13.0|0.53333336|0.3809524|0.8888889|0.53333336
TrainCasesforReview7|living alone|2.0|5.0|22.0|1.0|0.8|0.6666667|0.8148148|0.4|2.0|2.0|25.0|1.0|0.9|0.6666667|0.9259259|0.57142854|2.0|1.0|26.0|1.0|0.93333334|0.6666667|0.962963|0.6666667
TrainCasesforReview7|has access to community services|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0|0.0|0.0|29.0|1.0|0.96666664|0.0|1.0|0.0
TrainCasesforReview7|no social support|0.0|10.0|20.0|0.0|0.6666667|0.0|0.6666667|0.0|0.0|1.0|29.0|0.0|0.96666664|0.0|0.96666664|0.0|0.0|6.0|24.0|0.0|0.8|0.0|0.8|0.0
TrainCasesforReview7|has social support|24.0|1.0|3.0|2.0|0.9|0.9230769|0.75|0.9411765|24.0|1.0|3.0|2.0|0.9|0.9230769|0.75|0.9411765|19.0|1.0|3.0|7.0|0.73333335|0.7307692|0.75|0.82608694
Case|Concept|AverageTP|AverageFP|AverageTN|AverageFN|AverageAccuracy|AverageSensitivity|AverageSpecificity|AverageFScore|CommonTP|CommonFP|CommonTN|CommonFN|CommonAccuracy|CommonSensitivity|CommonSpecificity|CommonFScore|RecentTP|RecentFP|RecentTN|RecentFN|RecentAccuracy|RecentSensitivity|RecentSpecificity|RecentFScore
SUMMARY|homeless/marginally housed/temporarily housed/at risk of homelessness|2.0|14.0|195.0|0.0|0.9336493|1.0|0.93301433|0.22222222|1.0|4.0|205.0|1.0|0.97630334|0.5|0.98086125|0.2857143|2.0|2.0|207.0|0.0|0.9905213|1.0|0.9904306|0.6666667
SUMMARY|lives at home/not homeless|134.0|12.0|25.0|40.0|0.7535545|0.77011496|0.6756757|0.83750004|132.0|11.0|26.0|42.0|0.7488152|0.7586207|0.7027027|0.83280754|131.0|11.0|26.0|43.0|0.74407583|0.75287354|0.7027027|0.8291139
SUMMARY|lives in a facility|11.0|12.0|185.0|3.0|0.92890996|0.78571427|0.9390863|0.5945946|11.0|3.0|194.0|3.0|0.971564|0.78571427|0.98477155|0.7857142|10.0|6.0|191.0|4.0|0.9526066|0.71428573|0.96954316|0.6666667
SUMMARY|lives in a permanent single room occupancy|0.0|11.0|200.0|0.0|0.9478673|0.0|0.9478673|0.0|0.0|0.0|211.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|211.0|0.0|1.0|0.0|1.0|0.0
SUMMARY|does not live alone|44.0|9.0|78.0|80.0|0.578199|0.3548387|0.8965517|0.49717516|43.0|3.0|84.0|81.0|0.60189575|0.3467742|0.9655172|0.5058823|43.0|5.0|82.0|81.0|0.59241706|0.3467742|0.9425287|0.5
SUMMARY|living alone|34.0|19.0|151.0|7.0|0.87677723|0.8292683|0.8882353|0.7234042|35.0|11.0|159.0|6.0|0.91943127|0.85365856|0.9352941|0.80459774|33.0|11.0|159.0|8.0|0.9099526|0.80487806|0.9352941|0.77647066
SUMMARY|has access to community services|1.0|11.0|197.0|2.0|0.93838865|0.33333334|0.94711536|0.13333334|0.0|0.0|208.0|3.0|0.98578197|0.0|1.0|0.0|0.0|0.0|208.0|3.0|0.98578197|0.0|1.0|0.0
SUMMARY|no social support|0.0|36.0|172.0|3.0|0.8151659|0.0|0.8269231|0.0|0.0|7.0|201.0|3.0|0.9526066|0.0|0.96634614|0.0|0.0|14.0|194.0|3.0|0.91943127|0.0|0.9326923|0.0
SUMMARY|has social support|150.0|12.0|26.0|23.0|0.8341232|0.867052|0.68421054|0.89552236|150.0|12.0|26.0|23.0|0.8341232|0.867052|0.68421054|0.89552236|144.0|11.0|27.0|29.0|0.81042653|0.8323699|0.7105263|0.8780488
